#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
670,JJ Bleday,668709,668709,26368,10838,*04y95*,CIN,OF,OF,Bleday,JJ,Bleday,JJ,JJ Bleday
671,Spencer Steer,668715,668715,26323,11556,*0512e*,CIN,1B/OF,1B/OF,Steer,Spencer,Steer,Spencer,Spencer Steer
672,Noah Murdock,668716,668716,27908,12315,*0515a*,PIT,RP,RP,Murdock,Noah,Murdock,Noah,Noah Murdock
673,Payton Henry,668721,668721,22164,11290,*041sv*,PHI,C,C,Henry,Payton,Henry,Payton,Payton Henry
674,Ryan Vilade,668723,668723,22165,10324,*04eew*,TB,OF,OF,Vilade,Ryan,Vilade,Ryan,Ryan Vilade
675,Akil Baddoo,668731,668731,22168,10124,*041qi*,MIL,OF,OF,Baddoo,Akil,Baddoo,Akil,Akil Baddoo
676,Duke Ellis,668752,668752,27543,12099,*04es1*,NYY,OF,OF,Ellis,Duke,Ellis,Duke,Duke Ellis
677,Colin Peluse,668761,668761,sa3011126,11404,*0516o*,PHI,RP,RP,Peluse,Colin,Peluse,Colin,
678,Andrew Knizner,668800,668800,19514,10135,*041t8*,SEA,C,C,Knizner,Andrew,Knizner,Andrew,Andrew Knizner
679,Bryan Reynolds,668804,668804,19326,10153,*03e5m*,PIT,OF,OF,Reynolds,Bryan,Reynolds,Bryan,Bryan Reynolds
680,Kyle McCann,668832,668832,25575,10856,*0513b*,ATH,C,C,McCann,Kyle,McCann,Kyle,Kyle McCann
681,Easton McGee,668834,668834,22176,11579,,MIL,RP,RP,McGee,Easton,McGee,Easton,Easton McGee
682,Conner Capel,668843,668843,19983,11503,*041sb*,FA,OF,OF,Capel,Conner,Capel,Conner,Conner Capel
683,Aaron Schunk,668845,668845,25524,11079,*0511w*,COL,2B,2B/SS/ 3B,Schunk,Aaron,Schunk,Aaron,Aaron Schunk
684,Austin Shenton,668853,668853,25425,10869,*04y98*,FA,3B,3B,Shenton,Austin,Shenton,Austin,Austin Shenton
685,Zack Thompson,668868,668868,25918,10898,*04n0p*,STL,RP,RP,Thompson,Zack,Thompson,Zack,Zack Thompson
686,Hunter Greene,668881,668881,22182,10216,*04aea*,CIN,SP,SP,Greene,Hunter,Greene,Hunter,Hunter Greene
687,Austin Martin,668885,668885,27462,10833,*05249*,MIN,OF,OF,Martin,Austin,Martin,Austin,Austin Martin
688,Mark Vientos,668901,668901,22184,10282,*03zcy*,NYM,3B,3B,Vientos,Mark,Vientos,Mark,Mark Vientos
689,Royce Lewis,668904,668904,20437,10319,*04aeb*,MIN,3B,3B,Lewis,Royce,Lewis,Royce,Royce Lewis
690,Gavin Williams,668909,668909,30122,11590,*05jp7*,CLE,SP,SP,Williams,Gavin,Williams,Gavin,Gavin Williams
691,Brice Turang,668930,668930,22186,10151,*04b00*,MIL,2B,2B,Turang,Brice,Turang,Brice,Brice Turang
692,Graham Ashcraft,668933,668933,27552,11417,*041×9*,CIN,RP,RP,Ashcraft,Graham,Ashcraft,Graham,Graham Ashcraft
693,Adley Rutschman,668939,668939,26288,10704,*04q2n*,BAL,C,C,Rutschman,Adley,Rutschman,Adley,Adley Rutschman
694,JoJo Romero,668941,668941,19574,10528,*041rj*,STL,RP,RP,Romero,JoJo,Romero,JoJo,JoJo Romero
695,Josh Rojas,668942,668942,19734,10670,*04oct*,FA,2B/3B,2B/3B,Rojas,Josh,,,
696,Ryan Kreidler,668952,668952,25867,11324,*05132*,MIN,SS,SS,Kreidler,Ryan,Kreidler,Ryan,Ryan Kreidler
697,Tobias Myers,668964,668964,22191,10345,*041sz*,MIL,SP,SP,Myers,Tobias,Myers,Tobias,Tobias Myers
698,Gavin Hollowell,668970,668970,25427,11577,*0514j*,CHC,RP,RP,Hollowell,Gavin,Hollowell,Gavin,Gavin Hollowell
699,Casey Legumina,668984,668984,25921,11690,*0427a*,SEA,RP,RP,Legumina,Casey,Legumina,Casey,Casey Legumina
700,Garrett Mitchell,669003,669003,27555,11204,*04en7*,MIL,OF,OF,Mitchell,Garrett,Mitchell,Garrett,Garrett Mitchell
701,MJ Melendez,669004,669004,22197,10293,*04eey*,FA,OF,OF,Melendez,MJ,,,
