Name,MLBID,FGID,FGSlug
darwin rodriguez,807841,,darwin-rodriguez
darwing ozuna,829048,,darwing-ozuna
dasan brown,672018,,dasan-brown
dasan hill,815598,sa3067070,dasan-hill
dash albus,822836,,dash-albus
dashawn keirsey,680577,,dashawn-keirsey
dashyll tejeda,812158,,dashyll-tejeda
daulton jefferies,641726,19345,daulton-jefferies
daulton varsho,662139,19918,daulton-varsho
dauri fernandez,821171,sa3024327,dauri-fernandez
dauri moreta,664294,21101,dauri-moreta
daury vasquez,808035,,daury-vasquez
davian garcia,807485,,davian-garcia
david bednar,670280,19569,david-bednar
david bote,623520,14593,david-bote
david buchanan,571527,11176,david-buchanan
david calabrese,683341,,david-calabrese
david carrera,821683,,david-carrera
david davalillo,699314,sa3020448,david-davalillo
david de los santos,825231,,david-de-los-santos
david festa,701581,30056,david-festa
david fry,681807,24934,david-fry
david garcia,671272,,david-garcia
david guzman,807999,,david-guzman
david hagaman,701908,sa3032946,david-hagaman
david hamilton,666152,27531,david-hamilton
david hensley,682073,25111,david-hensley
david lee,150049,1843,david-lee
david matoma,807968,,david-matoma
david mccabe,678173,,david-mccabe
david mershon,702574,,david-mershon
david morgan,688158,31616,david-morgan
david ortiz,120074,745,david-ortiz
david peterson,656849,20302,david-peterson
david robertson,502085,8241,david-robertson
david rodriguez,815095,,david-rodriguez
david sandlin,,sa3020606,david-sandlin
david shields,815789,sa3067433,david-shields
david villar,681584,24782,david-villar
davidxon lara,808154,,davidxon-lara
daviel hurtado,,sa3023674,daviel-hurtado
davis chastain,823803,,davis-chastain
davis daniel,669721,27582,davis-daniel
davis diaz,696286,,davis-diaz
davis martin,663436,21448,davis-martin
davis polo,805175,,davis-polo
davis schneider,676914,23565,davis-schneider
davis wendzel,673995,,davis-wendzel
dawel joseph,815892,,dawel-joseph
dawson brown,804502,,dawson-brown
dawson netz,683100,,dawson-netz
dawson price,828523,,dawson-price
dawson willis,830619,,dawson-willis
dawvris brito,836605,,dawvris-brito
dax fulton,690978,,dax-fulton
dax kilby,828076,sa3069080,dax-kilby
dayan frias,682679,,dayan-frias
dayber cruceta,827426,,dayber-cruceta
daylen lile,695734,29995,daylen-lile
dayquer alfonzo,821628,,dayquer-alfonzo
dayson croes,806401,,dayson-croes
daz cameron,663662,18353,daz-cameron
dean curley,806053,sa3029706,dean-curley
dean kremer,665152,19350,dean-kremer
dean livingston,828344,,dean-livingston
dean moss,815830,MISSING,dean-moss
declan cronin,686539,25645,declan-cronin
dedniel nunez,,23055,dedniel-nunez
deinis chourio,829893,,deinis-chourio
deinys gonzalez,821637,,deinys-gonzalez
deiry gonzalez,829083,,deiry-gonzalez
deivi garcia,665620,20276,deivi-garcia
deivi villafana,812151,,deivi-villafana
deivid burgos,820871,,deivid-burgos
deivid coronil,829060,,deivid-coronil
deivis velasquez,827414,,deivis-velasquez
delino deshields,592261,11379,delino-deshields
delni uribe,821093,,delni-uribe
demetrio crisantes,,sa3021051,demetrio-crisantes
deniel ortiz,811765,sa3066597,deniel-ortiz
denison sanchez,805091,,denison-sanchez
dennis santana,642701,17878,dennis-santana
dennys riera,800378,,dennys-riera
denton biller,833410,,denton-biller
denyi reyes,660593,20526,denyi-reyes
denzel clarke,672016,29858,denzel-clarke
denzer guzman,694203,28816,denzer-guzman
derek berg,815074,,derek-berg
derek bernard,800204,,derek-bernard
derek cerda,832213,,derek-cerda
derek clark,823909,,derek-clark
derek datil,827613,,derek-datil
derek hill,656537,16947,derek-hill
derek law,571882,13133,derek-law
derek munoz,835352,,derek-munoz
derek true,689223,,derek-true
derik alcantara,814131,,derik-alcantara
derik aquino,830468,,derik-aquino
derlin figueroa,700283,,derlin-figueroa
dermis garcia,660650,20926,dermis-garcia
derniche valdez,806961,,derniche-valdez
derrick edington,689433,,derrick-edington
derrick smith,805003,,derrick-smith
dervy ventura,805319,,dervy-ventura
deuri castillo,821274,,deuri-castillo
devereaux harrison,687288,,devereaux-harrison
devin fitz-gerald,803849,sa3067320,devin-fitz-gerald
devin futrell,695656,,devin-futrell
devin ortiz,668776,,devin-ortiz
devin saltiban,813880,sa3022827,devin-saltiban
devin smeltzer,656970,19487,devin-smeltzer
devin sweet,682967,25348,devin-sweet
devin taylor,805127,sa3043560,devin-taylor
devin williams,642207,15816,devin-williams
deward tovar,808297,,deward-tovar
dexters peralta,820996,,dexters-peralta
deyvison de los santos,691277,27969,deyvison-de-los-santos
didier fuentes,800311,30661,didier-fuentes
diego barrera,685290,,diego-barrera
diego cartaya,682616,sa3008742,diego-cartaya
diego castillo,650895,17496,diego-castillo
diego castillo,660636,19906,diego-castillo
diego contreras,832559,,diego-contreras
diego dominguez,800435,,diego-dominguez
diego flores,821282,,diego-flores
diego frontado,836601,,diego-frontado
diego gonzalez,821249,,diego-gonzalez
diego gonzalez,821249,,diego-gonzalez
diego gonzalez,821249,,diego-gonzalez
diego guzman,699321,,diego-guzman
diego mosquera,699305,,diego-mosquera
diego natera,829950,,diego-natera
diego rosa,828227,,diego-rosa
diego serna,835315,,diego-serna
diego tornes,829053,sa3066458,diego-tornes
diego velasquez,694196,sa3016144,diego-velasquez
dietrich enns,608650,13932,dietrich-enns
dilan granadillo,693809,,dilan-granadillo
dillon dingler,693307,27464,dillon-dingler
dillon head,702977,sa3022753,dillon-head
dillon lewis,827665,sa3025515,dillon-lewis
dillon stiltner,833490,,dillon-stiltner
dillon tate,622253,17796,dillon-tate
dinelson lamet,659275,17186,dinelson-lamet
diomar hidalgo,829304,,diomar-hidalgo
diomedes hernandez,800299,,diomedes-hernandez
dioris de la rosa,820981,,dioris-de-la-rosa
diorland zambrano,821045,,diorland-zambrano
diosfran cabeza,691281,,diosfran-cabeza
diovel mariano,804969,,diovel-mariano
diustin mayorquin,829944,,diustin-mayorquin
diwarys encarnacion,827285,,diwarys-encarnacion
dixon williams,703483,,dixon-williams
dj gladney,687554,,dj-gladney
dj herz,687792,26389,dj-herz
dj layton,816152,,dj-layton
dj lemahieu,518934,9874,dj-lemahieu
dj newman,823775,,dj-newman
dj peters,656847,19348,dj-peters
dj stewart,621466,17766,dj-stewart
djean macares,829079,,djean-macares
dl hall,669084,22207,dl-hall
dom hamel,687589,,dom-hamel
dom nunez,624513,15055,dom-nunez
domenic picone,822472,,domenic-picone
domingo batista,820999,,domingo-batista
domingo german,593334,17149,domingo-german
domingo geronimo,800383,,domingo-geronimo
domingo gonzalez,682445,,domingo-gonzalez
domingo leyba,642736,16404,domingo-leyba
domingo robles,660781,,domingo-robles
dominic canzone,686527,26438,dominic-canzone
dominic fletcher,666150,26149,dominic-fletcher
dominic freeberger,802683,,dominic-freeberger
dominic keegan,681371,sa3020194,dominic-keegan
dominic leone,608678,13763,dominic-leone
dominic niman,823116,,dominic-niman
dominic perachi,806270,,dominic-perachi
dominic pipkin,669421,,dominic-pipkin
dominic pitelli,694689,,dominic-pitelli
dominic scheffler,807636,,dominic-scheffler
dominic smith,642086,15653,dominic-smith
dominick reid,805255,MISSING,dominick-reid
donny sands,664848,18603,donny-sands
donny troconis,807988,,donny-troconis
donovan solano,456781,8623,donovan-solano
donovan walton,622268,19314,donovan-walton
donovan zsak,805124,,donovan-zsak
dony aguilera,823865,MISSING,dony-aguilera
donye evans,692288,,donye-evans
dorian soto,829039,sa3067678,dorian-soto
doug nikhazy,680951,30142,doug-nikhazy
douglas hodo iii,683233,,douglas-hodo-iii
douglas orellana,702878,,douglas-orellana
drake baldwin,686948,31539,drake-baldwin
draven zeigler,825932,,draven-zeigler
drew anderson,623454,15130,drew-anderson
drew avans,682183,25183,drew-avans
drew beam,701795,sa3026785,drew-beam
drew bowser,690958,,drew-bowser
drew brutcher,695046,,drew-brutcher
drew carlton,656290,19868,drew-carlton
drew cavanaugh,701852,,drew-cavanaugh
drew christo,695513,,drew-christo
drew compton,686541,,drew-compton
drew davies,806730,,drew-davies
drew dowd,694647,,drew-dowd
drew ehrhard,679602,,drew-ehrhard
drew ellis,656403,19873,drew-ellis
drew faurot,702656,,drew-faurot
drew gilbert,687551,31545,drew-gilbert
drew hutchison,571800,10732,drew-hutchison
drew maggi,543482,11381,drew-maggi
drew mcdaniel,687077,,drew-mcdaniel
drew millas,686452,25643,drew-millas
drew pestka,814102,,drew-pestka
drew pomeranz,519141,11426,drew-pomeranz
drew rasmussen,656876,25385,drew-rasmussen
drew rom,680723,24602,drew-rom
drew romo,691011,27763,drew-romo
drew smith,622098,17755,drew-smith
drew smyly,592767,11760,drew-smyly
drew sommers,805427,,drew-sommers
drew swift,669439,,drew-swift
drew thorpe,689672,31967,drew-thorpe
drew waters,671221,20505,drew-waters
drey jameson,686753,26260,drey-jameson
dru baker,681333,,dru-baker
drue hackenberg,802357,sa3023304,drue-hackenberg
druw jones,702258,sa3020676,druw-jones
duane underwood jr.,621249,14677,duane-underwood-jr
duce gourson,701546,,duce-gourson
dugan darnell,699911,,dugan-darnell
duke ellis,668752,,duke-ellis
duncan davitt,701474,sa3020394,duncan-davitt
duncan pastore,804603,,duncan-pastore
duque hebbert,808986,,duque-hebbert
dustin crenshaw,695289,,dustin-crenshaw
dustin dickerson,815039,,dustin-dickerson
dustin harris,687957,25705,dustin-harris
dustin may,669160,19716,dustin-may
dustin peterson,640460,15189,dustin-peterson
dusty revis,834961,,dusty-revis
dyan jorge,694170,,dyan-jorge
dylan beavers,687637,31695,dylan-beavers
dylan brown,832562,,dylan-brown
dylan campbell,694749,,dylan-campbell
dylan carlson,666185,20126,dylan-carlson
dylan carmouche,694581,,dylan-carmouche
dylan cease,656302,18525,dylan-cease
dylan coleman,669395,22276,dylan-coleman
dylan covey,592229,14825,dylan-covey
dylan crews,686611,33541,dylan-crews
dylan crooks,822043,,dylan-crooks
dylan cumming,804706,,dylan-cumming
dylan delucia,690626,sa3024964,dylan-delucia
dylan dodd,689266,29928,dylan-dodd
dylan dreiling,702662,sa3025251,dylan-dreiling
dylan driessen,834897,,dylan-driessen
dylan fien,814504,,dylan-fien
dylan file,668766,,dylan-file
dylan floro,571670,13394,dylan-floro
dylan grego,834966,,dylan-grego
dylan howard,703440,,dylan-howard
dylan jasso,815734,sa3022830,dylan-jasso
dylan jordan,813335,sa3067384,dylan-jordan
dylan king,695732,,dylan-king
dylan lee,669276,19996,dylan-lee
dylan lesko,702266,sa3020677,dylan-lesko
dylan maclean,694395,,dylan-maclean
dylan moore,664238,18042,dylan-moore
dylan orae,,sa3020220,dylan-orae
dylan palmer,805590,,dylan-palmer
dylan phillips,701488,,dylan-phillips
dylan ray,691009,,dylan-ray
dylan simmons,687535,,dylan-simmons
dylan smith,681916,30145,dylan-smith
dylan watts,814346,,dylan-watts
dylan wilson,808511,,dylan-wilson
e.j. exposito,802991,,ej-exposito
earle zulueta,821638,,earle-zulueta
easton carmichael,702695,,easton-carmichael
easton lucas,687922,26058,easton-lucas
easton marks,831560,,easton-marks
easton mcgee,668834,22176,easton-mcgee
easton shelton,806221,,easton-shelton
echedry vargas,800448,sa3018565,echedry-vargas
ed howard,690992,,ed-howard
eddie micheletti jr.,804446,,eddie-micheletti-jr
eddie rosario,592696,12155,eddie-rosario
eddie rynders,815535,sa3066663,eddie-rynders
eddinson paulino,682796,,eddinson-paulino
eddy felix,803251,sa3019646,eddy-felix
eddy marmolejos,821008,,eddy-marmolejos
eddy rodriguez,430626,2193,eddy-rodriguez
eddy yean,678868,,eddy-yean
eddys leonard,678760,,eddys-leonard
edelson canelon,829718,,edelson-canelon
edelvis perez,821821,,edelvis-perez
edgar alvarez,827294,,edgar-alvarez
edgar colon,813958,,edgar-colon
edgar jimenez,821173,,edgar-jimenez
edgar leon,800453,,edgar-leon
edgar montero,815911,sa3024109,edgar-montero
edgar navarro,679346,24363,edgar-navarro
edgar quero,700337,28022,edgar-quero
edgar walker,825725,,edgar-walker
edgardo de leon,821279,,edgardo-de-leon
edgardo figueroa,829702,,edgardo-figueroa
edgardo henriquez,683618,26944,edgardo-henriquez
edgardo ordonez,699166,,edgardo-ordonez
edgardo toro,838856,,edgardo-toro
edgleen perez,814297,,edgleen-perez
edian espinal,832420,,edian-espinal
edinson duran,702750,,edinson-duran
edinson salgado,805681,,edinson-salgado
edmundo sosa,624641,17022,edmundo-sosa
edouard julien,666397,27534,edouard-julien
eduard bazardo,660825,20997,eduard-bazardo
eduardo beltre,815924,sa3024928,eduardo-beltre
eduardo garcia,,sa3008751,eduardo-garcia
eduardo guerrero,800370,,eduardo-guerrero
eduardo herrera,815901,,eduardo-herrera
eduardo herrera,815901,,eduardo-herrera
eduardo perez,808039,,eduardo-perez
eduardo quintero,808234,sa3021208,eduardo-quintero
eduardo rivera,700842,sa3017951,eduardo-rivera
eduardo rodriguez,593958,13164,eduardo-rodriguez
eduardo rojas,821672,,eduardo-rojas
eduardo salazar,674285,23135,eduardo-salazar
eduardo tait,806953,sa3022162,eduardo-tait
eduardo valencia,680664,,eduardo-valencia
eduarniel nunez,674384,,eduarniel-nunez
edwar colina,666674,20589,edwar-colina
edward cabrera,665795,21690,edward-cabrera
edward cedano,808523,,edward-cedano
edward duran,698927,,edward-duran
edward florentino,821273,sa3023944,edward-florentino
edward guribe,821025,,edward-guribe
edward lantigua,815928,,edward-lantigua
edward olivares,658668,19698,edward-olivares
edward vargas,703726,,edward-vargas
edwardo espinal,808103,,edwardo-espinal
edwardo melendez,823898,,edwardo-melendez
edwin amparo,800348,,edwin-amparo
edwin arroyo,695490,sa3017626,edwin-arroyo
edwin darville,823731,,edwin-darville
edwin diaz,621242,14710,edwin-diaz
edwin diaz,621242,14710,edwin-diaz
edwin escobar,546276,10337,edwin-escobar
edwin jimenez,664263,,edwin-jimenez
edwin mendoza,829710,,edwin-mendoza
edwin nunez,695835,,edwin-nunez
edwin rios,621458,18316,edwin-rios
edwin uceta,670955,20539,edwin-uceta
efrailin ramos,820889,,efrailin-ramos
efrain contreras,678713,,efrain-contreras
efren alvarez,827711,,efren-alvarez
efren teran,821236,,efren-teran
eguy rosario,666703,19964,eguy-rosario
eiberson castellano,682769,,eiberson-castellano
eiker huizi,678973,,eiker-huizi
eiver mosquera,820940,,eiver-mosquera
elaineiker coronado,830398,,elaineiker-coronado
elehuris montero,660707,20543,elehuris-montero
eli jerzembeck,702260,,eli-jerzembeck
eli jones,801796,,eli-jones
eli lovich,815654,,eli-lovich
eli morgan,669212,20203,eli-morgan
eli pitts,812503,,eli-pitts
eli serrano,,MISSING,eli-serrano
eli villalobos,681871,,eli-villalobos
eli white,642201,19346,eli-white
eli willits,816113,sa3069164,eli-willits
elian de la cruz,829066,,elian-de-la-cruz
elian pena,829033,sa3067674,elian-pena
elian rosario,836589,,elian-rosario
elian soto,808279,,elian-soto
elias diaz,553869,11680,elias-diaz
elias marrero,827418,,elias-marrero
elias medina,808257,,elias-medina
elias moscoso,800445,,elias-moscoso
elias perez,829920,,elias-perez
elias reyno,829758,,elias-reyno
eliazar dishmey,803244,sa3019181,eliazar-dishmey
elier hernandez,609274,13750,elier-hernandez
eliesbert alejos,808148,,eliesbert-alejos
elieser hernandez,622694,16933,elieser-hernandez
eliezer alfonzo,672613,,eliezer-alfonzo
eliezer alfonzo,829821,,eliezer-alfonzo
eliezer pena,807979,,eliezer-pena
eliezer rivero,800191,,eliezer-rivero
eligio arias,820857,,eligio-arias
elih marrero,663503,,elih-marrero
elijah dunham,685313,,elijah-dunham
elijah farley,836060,,elijah-farley
elijah green,701327,,elijah-green
elijah hainline,809944,sa3025157,elijah-hainline
elijah nunez,694399,,elijah-nunez
eliomar garces,829055,,eliomar-garces
elis cuevas,800433,sa3019509,elis-cuevas
eliseo mota,803252,,eliseo-mota
elison joseph,693176,,elison-joseph
elkyns villarreal,821640,,elkyns-villarreal
elliot soto,519303,11155,elliot-soto
elly de la cruz,682829,26668,elly-de-la-cruz
elmer rodriguez,695684,sa3019459,elmer-rodriguez
elorky rodriguez,829069,sa3067697,elorky-rodriguez
eloy jimenez,650391,17484,eloy-jimenez
elvin garcia,821751,sa3024147,elvin-garcia
elvis alvarado,665660,21662,elvis-alvarado
elvis peguero,665625,21652,elvis-peguero
ely brown,836058,,ely-brown
emaarion boyd,702708,,emaarion-boyd
emanuel luna,836587,,emanuel-luna
emdys rosillo,824768,,emdys-rosillo
emerson hancock,676106,27470,emerson-hancock
emil morales,815896,sa3023887,emil-morales
emile torres,829736,,emile-torres
emiliano teodo,693713,sa3015158,emiliano-teodo
emilien pitre,692150,,emilien-pitre
emilio barreras,808903,,emilio-barreras
emilio obispo,827448,,emilio-obispo
emilio pagan,641941,14771,emilio-pagan
emilio payro,830478,,emilio-payro
emilio sanchez,815916,,emilio-sanchez
emmanuel cedeno,829703,,emmanuel-cedeno
emmanuel chapman,820888,,emmanuel-chapman
emmanuel clase,661403,21032,emmanuel-clase
emmanuel martinez,830415,,emmanuel-martinez
emmanuel pena,830015,,emmanuel-pena
emmanuel ramirez,642629,,emmanuel-ramirez
emmanuel reyes,800539,,emmanuel-reyes
emmanuel rivera,656896,19890,emmanuel-rivera
emmanuel rodriguez,691181,sa3014693,emmanuel-rodriguez
emmet sheehan,686218,29839,emmet-sheehan
enddy azocar,821150,sa3023764,enddy-azocar
enderso lira,,sa3016145,enderso-lira
enderson delgado,800503,,enderson-delgado
enderson mercado,821253,,enderson-mercado
endy rodriguez,682848,25332,endy-rodriguez
engel paulino,821162,,engel-paulino
engel silvestre,815437,,engel-silvestre
engelth urena,800246,sa3018484,engelth-urena
enixon sanchez,821198,,enixon-sanchez
enmanuel bonilla,806962,,enmanuel-bonilla
enmanuel carela,821016,,enmanuel-carela
enmanuel corniel,821698,,enmanuel-corniel
enmanuel de jesus,646241,18554,enmanuel-de-jesus
enmanuel figuereo,830026,,enmanuel-figuereo
enmanuel ramirez,698990,,enmanuel-ramirez
enmanuel tejeda,800285,sa3018497,enmanuel-tejeda
enmanuel valdez,665839,21716,enmanuel-valdez
enniel cortez,808308,,enniel-cortez
enoli paredes,660600,20447,enoli-paredes
enrique bradfield jr.,690961,sa3022917,enrique-bradfield-jr
enrique hernandez,571771,10472,enrique-hernandez
enrique jimenez,,sa3021091,enrique-jimenez
enrique segura,800283,,enrique-segura
enry torres,829095,,enry-torres
enyel de los santos,660853,18403,enyel-de-los-santos
enyel lopez,830472,,enyel-lopez
enyervert perez,808381,,enyervert-perez
erasmo ramirez,541640,10314,erasmo-ramirez
erian rodriguez,701477,,erian-rodriguez
eriandys ramon,814546,,eriandys-ramon
eric adler,688328,,eric-adler
eric bitonti,800724,sa3022866,eric-bitonti
eric cerantola,672021,,eric-cerantola
eric genther,823759,,eric-genther
eric haase,606992,14111,eric-haase
eric hartman,807080,,eric-hartman
eric lauer,641778,19316,eric-lauer
eric loomis,823793,,eric-loomis
eric martinez,702444,,eric-martinez
eric orze,679358,27626,eric-orze
eric prado,808260,,eric-prado
eric reyzelman,801432,,eric-reyzelman
eric silva,696150,,eric-silva
eric snow,702526,,eric-snow
eric torres,701539,,eric-torres
eric wagaman,676572,23395,eric-wagaman
eric yang,687066,,eric-yang
eric yost,801293,,eric-yost
erich tovar,821111,,erich-tovar
erich uelmen,657272,20323,erich-uelmen
erick batista,808369,,erick-batista
erick de la cruz,821057,,erick-de-la-cruz
erick fedde,607200,17425,erick-fedde
erick hernandez,829913,,erick-hernandez
erick lara,808717,,erick-lara
erick matos,821760,,erick-matos
erick mejia,625510,15817,erick-mejia
erick torres,805075,,erick-torres
ericksson de los santos,814264,,ericksson-de-los-santos
eriel dihigo,821128,,eriel-dihigo
erigaldi perez,808122,,erigaldi-perez
erik gonzalez,570481,13369,erik-gonzalez
erik miller,669062,26252,erik-miller
erik rivera,682992,,erik-rivera
erik sabrowski,681870,24978,erik-sabrowski
erik tolman,680899,,erik-tolman
eriq swan,811291,sa3023514,eriq-swan
ernesto martinez jr.,667803,sa3003173,ernesto-martinez-jr
ernesto mercedes,800233,,ernesto-mercedes
ernie clement,676391,20352,ernie-clement
erny orellana,821786,,erny-orellana
eryks rivero,829790,,eryks-rivero
esmerlin vinicio,691263,,esmerlin-vinicio
esmerlyn valdez,699013,sa3015768,esmerlyn-valdez
esmil valencia,806982,sa3021082,esmil-valencia
esmith pineda,703204,,esmith-pineda
esnaider vargas,829726,,esnaider-vargas
esteban gonzalez,691416,,esteban-gonzalez
esteban luna,823718,,esteban-luna
esteban mejia,821757,sa3024583,esteban-mejia
esteban mejia,800354,,esteban-mejia
esteban quiroz,606019,19780,esteban-quiroz
esteury ruiz,665923,21780,esteury-ruiz
estevan florial,664314,19151,estevan-florial
estevan moreno,803290,,estevan-moreno
estivel morillo,821695,,estivel-morillo
estivenzon montero,821028,,estivenzon-montero
eston stull,834575,,eston-stull
estuar suero,800209,,estuar-suero
ethan anderson,803175,sa3025410,ethan-anderson
ethan bagwell,815626,sa3025661,ethan-bagwell
ethan bell,809754,,ethan-bell
ethan bosacker,815073,,ethan-bosacker
ethan cole,836087,,ethan-cole
ethan conrad,828255,sa3029266,ethan-conrad
ethan dorchies,828475,sa3067421,ethan-dorchies
ethan flanagan,701579,,ethan-flanagan
ethan frey,703676,sa3031717,ethan-frey
ethan hearn,683001,,ethan-hearn
ethan hedges,805260,sa3033512,ethan-hedges
ethan holliday,815787,sa3069100,ethan-holliday
ethan long,690994,,ethan-long
ethan murray,696140,,ethan-murray
ethan murray,696140,,ethan-murray
ethan pecko,814490,sa3022997,ethan-pecko
ethan petry,701337,sa3039828,ethan-petry
ethan roberts,681799,24930,ethan-roberts
ethan routzahn,701240,,ethan-routzahn
ethan salas,806956,sa3020881,ethan-salas
ethan schiefelbein,815162,sa3066595,ethan-schiefelbein
ethan sloan,826942,,ethan-sloan
ethan small,663629,26364,ethan-small
ethan storm,833401,,ethan-storm
ethan wagner,825334,,ethan-wagner
ethan walker,833080,,ethan-walker
ethan workinger,689688,sa3015166,ethan-workinger
ethan young,831273,,ethan-young
ettore giulianelli,692372,,ettore-giulianelli
eudry alcantara,805122,,eudry-alcantara
eugenio suarez,553993,12552,eugenio-suarez
euri montero,693759,,euri-montero
euribiel angeles,683494,sa3008877,euribiel-angeles
eury perez,691587,27768,eury-perez
evan carter,694497,27790,evan-carter
evan chrest,805971,,evan-chrest
evan estevez,821620,,evan-estevez
evan fitterer,683157,,evan-fitterer
evan gates,688753,,evan-gates
evan justice,687145,30008,evan-justice
evan kravetz,667478,,evan-kravetz
evan lee,681885,24988,evan-lee
evan phillips,623465,17734,evan-phillips
evan reifert,682126,sa3014860,evan-reifert
evan shaw,822627,,evan-shaw
evan shawver,686900,,evan-shawver
evan siary,804905,,evan-siary
evan sisk,681895,,evan-sisk
evan taylor,681117,,evan-taylor
evan truitt,822462,,evan-truitt
evan white,657108,20078,evan-white
evan yates,696524,,evan-yates
everett catlett,700481,,everett-catlett
everson pereira,677592,23695,everson-pereira
eybersson polanco,702882,,eybersson-polanco
eybert sanchez,829734,,eybert-sanchez
eyeksson rojas,811325,,eyeksson-rojas
ezequiel duran,677649,23733,ezequiel-duran
ezequiel pena,821101,,ezequiel-pena
ezequiel tovar,678662,24064,ezequiel-tovar
fabian alcantara,820925,,fabian-alcantara
fabian gonzalez,835648,,fabian-gonzalez
fabian lopez,808500,,fabian-lopez
fabricio blanco,837521,,fabricio-blanco
facundo velasquez,808278,,facundo-velasquez
feldi tavarez,821049,,feldi-tavarez
felipe de la cruz,700370,,felipe-de-la-cruz
felipe vazquez,553878,12076,felipe-vazquez
felix amparo,808118,,felix-amparo
felix arronde,702373,,felix-arronde
felix bautista,642585,20666,felix-bautista
felix castro,803427,,felix-castro
felix cepeda,678743,,felix-cepeda
felix cotes,800432,,felix-cotes
felix morrobel,807011,,felix-morrobel
felix reyes,694025,sa3015688,felix-reyes
feliz genao,825488,,feliz-genao
felnin celesten,806958,sa3023381,felnin-celesten
fenwick trimble,814458,sa3025202,fenwick-trimble
fermin magallanes,808678,,fermin-magallanes
fernando abad,472551,4994,fernando-abad
fernando cruz,518585,7048,fernando-cruz
fernando cruz,518585,7048,fernando-cruz
fernando gonzalez,692232,,fernando-gonzalez
fernando graterol,836608,,fernando-graterol
fernando peguero,800387,,fernando-peguero
fernando pena,821627,,fernando-pena
fernando perez,445010,sa3018826,fernando-perez
fernando sanchez,685719,,fernando-sanchez
fernando tatis jr.,665487,19709,fernando-tatis-jr
fidel montero,700320,,fidel-montero
fidel ulloa,801842,,fidel-ulloa
filippo di turi,806995,sa3021093,filippo-di-turi
filippo sabatini,829364,,filippo-sabatini
fisher jameson,701404,,fisher-jameson
forrest wall,657088,16496,forrest-wall
forrest whitley,666215,19586,forrest-whitley
foster griffin,656492,16432,foster-griffin
frainner chirinos,821602,,frainner-chirinos
frainyer chavez,669413,,frainyer-chavez
framber valdez,664285,17295,framber-valdez
franchely silverio,821002,,franchely-silverio
franchy cordero,614173,14567,franchy-cordero
francis marte,807959,,francis-marte
francis pena,800212,,francis-pena
francis texido,809814,,francis-texido
francisco acuna,672696,,francisco-acuna
francisco alvarez,682626,26121,francisco-alvarez
francisco espinoza,821689,,francisco-espinoza
francisco lindor,596019,12916,francisco-lindor
francisco loreto,821244,,francisco-loreto
francisco mejia,642336,16403,francisco-mejia
francisco morales,672839,22913,francisco-morales
francisco pazos,802387,,francisco-pazos
francisco renteria,836353,,francisco-renteria
francisco toledo,800331,,francisco-toledo
francisco urbaez,688005,,francisco-urbaez
francisco vilorio,815910,,francisco-vilorio
franco aleman,680916,sa3018178,franco-aleman
franco zabaleta,821032,,franco-zabaleta
frandy guillen,829999,,frandy-guillen
frandy lafond,821143,,frandy-lafond
frank cairone,827980,,frank-cairone
frank camarillo,805273,,frank-camarillo
frank chessman,821756,,frank-chessman
frank martinez,808347,,frank-martinez
frank mieses,830040,,frank-mieses
frank mozzicato,700924,,frank-mozzicato
frankeli arias,802087,,frankeli-arias
frankeli mesta,821094,,frankeli-mesta
frankie montas,593423,14309,frankie-montas
franklin arias,808265,sa3021845,franklin-arias
franklin barreto,620439,15519,franklin-barreto
franklin gomez,800338,,franklin-gomez
franklin primera,829398,,franklin-primera
franklin rojas,815922,,franklin-rojas
franmil reyes,614177,14566,franmil-reyes
franniel reynoso,821013,,franniel-reynoso
franyel diaz,806241,,franyel-diaz
franyer herrera,800471,,franyer-herrera
franyer mendez,820967,,franyer-mendez
franyerber montilla,,sa3018580,franyerber-montilla
franyerson reyes,821802,,franyerson-reyes
fraser ellard,686642,,fraser-ellard
fredderick ovalle,829704,,fredderick-ovalle
freddie freeman,518692,5361,freddie-freeman
freddy contreras,830469,,freddy-contreras
freddy fermin,666023,21840,freddy-fermin
freddy hernandez,829852,,freddy-hernandez
freddy peralta,642547,18679,freddy-peralta
freddy rodriguez,809934,,freddy-rodriguez
freddy tarnok,676206,23324,freddy-tarnok
freddy zamora,668965,,freddy-zamora
frederi montero,821149,,frederi-montero
frederick bencosme,695930,sa3016779,frederick-bencosme
frederik jimenez,808631,,frederik-jimenez
freider rojas,808248,,freider-rojas
freiker betencourt,829870,,freiker-betencourt
freili encarnacion,703175,sa3018414,freili-encarnacion
frenny grant,814133,,frenny-grant
freuddy batista,673945,,freuddy-batista
fulton lockhart,702586,,fulton-lockhart
gabe bierman,685321,,gabe-bierman
gabe craig,700582,,gabe-craig
gabe davis,805031,,gabe-davis
gabe klobosits,656620,19881,gabe-klobosits
gabe morales,573597,,gabe-morales
gabe mosser,682077,,gabe-mosser
gabe speier,642100,17170,gabe-speier
gabel pentecost,834872,,gabel-pentecost
gabriel arias,672356,22563,gabriel-arias
gabriel barbosa,682858,,gabriel-barbosa
gabriel cesa,821014,,gabriel-cesa
gabriel chinchilla,820976,,gabriel-chinchilla
gabriel davalillo,829058,sa3068659,gabriel-davalillo
gabriel gonzalez,694224,sa3015723,gabriel-gonzalez
gabriel guanchez,821687,,gabriel-guanchez
