Name,MLBID,FGID,FGSlug
aldalay kolokie,813985,,aldalay-kolokie
aldo gaxiola,815220,,aldo-gaxiola
alec baker,696508,,alec-baker
alec bohm,664761,21618,alec-bohm
alec burleson,676475,27615,alec-burleson
alec makarewicz,701062,,alec-makarewicz
alec marsh,679525,27451,alec-marsh
aledmys diaz,649557,15937,aledmys-diaz
aleiman cruz,829462,,aleiman-cruz
alejandro blasco,821246,,alejandro-blasco
alejandro chiquillo,823330,,alejandro-chiquillo
alejandro cruz,829078,,alejandro-cruz
alejandro de la cruz,820965,,alejandro-de-la-cruz
alejandro hidalgo,691576,,alejandro-hidalgo
alejandro kirk,672386,22581,alejandro-kirk
alejandro loaiza,700335,,alejandro-loaiza
alejandro nunez,805168,,alejandro-nunez
alejandro osuna,696030,27915,alejandro-osuna
alejandro pereira,821163,,alejandro-pereira
alejandro rios,800313,,alejandro-rios
alejandro rivera,821122,,alejandro-rivera
alejandro rosario,691730,sa3023538,alejandro-rosario
alejandro torres,687776,,alejandro-torres
alejo lopez,664670,21127,alejo-lopez
alek jacob,689690,29628,alek-jacob
alek manoah,666201,26410,alek-manoah
alek thomas,677950,23792,alek-thomas
alessander de la cruz,807987,,alessander-de-la-cruz
alessandro duran,800333,,alessandro-duran
alex amalfi,806334,,alex-amalfi
alex barr,828781,,alex-barr
alex binelas,681323,,alex-binelas
alex blandino,607468,16271,alex-blandino
alex bouchard,827635,,alex-bouchard
alex breckheimer,832225,,alex-breckheimer
alex bregman,608324,17678,alex-bregman
alex call,669743,19296,alex-call
alex carrillo,692024,,alex-carrillo
alex clemmey,806046,sa3023421,alex-clemmey
alex cobb,502171,6562,alex-cobb
alex cook,702047,,alex-cook
alex de goti,621008,19477,alex-de-goti
alex faedo,656412,19874,alex-faedo
alex freeland,690976,31665,alex-freeland
alex galvan,694453,,alex-galvan
alex gonzalez,114924,281,alex-gonzalez
alex hoppe,695380,,alex-hoppe
alex jackson,656577,17276,alex-jackson
alex lange,656638,19883,alex-lange
alex lodise,822676,sa3036445,alex-lodise
alex makarewich,801317,,alex-makarewich
alex martinez,692624,,alex-martinez
alex mccoy,801932,,alex-mccoy
alex mcfarlane,686934,,alex-mcfarlane
alex mooney,695612,,alex-mooney
alex pham,702129,,alex-pham
alex ramirez,691267,,alex-ramirez
alex rodriguez,121347,1274,alex-rodriguez
alex speas,666208,21859,alex-speas
alex ungar,836153,,alex-ungar
alex verdugo,657077,17027,alex-verdugo
alex vesia,681911,25007,alex-vesia
alex wallace,834971,,alex-wallace
alex williams,677354,,alex-williams
alex young,622065,18333,alex-young
alexander alberto,693739,,alexander-alberto
alexander albertus,800316,,alexander-albertus
alexander almonte,823012,,alexander-almonte
alexander campos,814226,,alexander-campos
alexander canario,672744,22842,alexander-canario
alexander de los santos,808167,,alexander-de-los-santos
alexander frias,825484,,alexander-frias
alexander fuentes,815218,,alexander-fuentes
alexander garcia,824212,,alexander-garcia
alexander martinez,835325,,alexander-martinez
alexander meckley,814384,,alexander-meckley
alexander requena,808677,,alexander-requena
alexander rincon,821654,,alexander-rincon
alexander vargas,683061,,alexander-vargas
alexey lumpuy,815121,,alexey-lumpuy
alexi quiroz,821018,,alexi-quiroz
alexis diaz,664747,21132,alexis-diaz
alexis hernandez,703161,,alexis-hernandez
alexis hernandez,692562,,alexis-hernandez
alfonsin rosario,806210,sa3022868,alfonsin-rosario
alfonso perez,800479,,alfonso-perez
alfonso rivas,663845,21560,alfonso-rivas
alfonzo martinez,808273,,alfonzo-martinez
alfred morillo,801219,,alfred-morillo
alfredo alcantara,807643,sa3022184,alfredo-alcantara
alfredo benzan,820968,,alfredo-benzan
alfredo duno,806957,sa3021066,alfredo-duno
alfredo guanchez,814376,,alfredo-guanchez
alfredo rodriguez,808233,,alfredo-rodriguez
ali camarillo,701548,,ali-camarillo
ali sanchez,645305,18551,ali-sanchez
alika williams,675961,27604,alika-williams
alimber santa,695001,,alimber-santa
alirio ferrebus,808232,sa3022306,alirio-ferrebus
alison zacarias,808026,,alison-zacarias
alistair tanner,816305,,alistair-tanner
alix hernandez,806672,,alix-hernandez
allan castro,691369,,allan-castro
allan winans,642216,21238,allan-winans
allen ajoti,821808,,allen-ajoti
allen facundo,702098,,allen-facundo
almen tolentino,820958,,almen-tolentino
alton davis ii,702671,,alton-davis-ii
alvaro carrillo,828592,,alvaro-carrillo
alvaro mejias,699154,,alvaro-mejias
amauri ramirez,821752,,amauri-ramirez
ambioris tavarez,694222,,ambioris-tavarez
amed rosario,642708,15518,amed-rosario
amilcar chirinos,702847,,amilcar-chirinos
amilcar medina,807590,,amilcar-medina
amir garrett,607237,14375,amir-garrett
amos willingham,686294,26128,amos-willingham
anderdson rojas,699232,,anderdson-rojas
anderson alvarez,830011,,anderson-alvarez
anderson araujo,827410,,anderson-araujo
anderson areinamo,829868,,anderson-areinamo
anderson brito,820901,sa3024232,anderson-brito
anderson cardenas,807966,,anderson-cardenas
anderson de los santos,698945,,anderson-de-los-santos
anderson diaz,829705,,anderson-diaz
anderson espinoza,659262,18593,anderson-espinoza
anderson fermin,821112,,anderson-fermin
anderson garcia,821629,,anderson-garcia
anderson guevara,803373,,anderson-guevara
anderson jimenez,821254,,anderson-jimenez
anderson machado,407785,1853,anderson-machado
anderson navas,815014,,anderson-navas
anderson ozuna,835032,,anderson-ozuna
anderson pilar,666768,,anderson-pilar
anderson ramos,823414,,anderson-ramos
anderson severino,644429,20582,anderson-severino
andersson barvosa,807954,,andersson-barvosa
andre granillo,701552,29542,andre-granillo
andre jackson,656578,21298,andre-jackson
andre lipcius,686531,25822,andre-lipcius
andre pallante,669467,26108,andre-pallante
andre scrubb,668687,20329,andre-scrubb
andre vasquez,807639,,andre-vasquez
andreimi antunez,821782,,andreimi-antunez
andres arias,815914,,andres-arias
andres chaparro,665953,21797,andres-chaparro
andres cova,815945,,andres-cova
andres galan,800883,,andres-galan
andres gimenez,665926,19950,andres-gimenez
andres machado,600921,14681,andres-machado
andres munoz,662253,20373,andres-munoz
andres nolaya,800438,,andres-nolaya
andres ortiz,829422,,andres-ortiz
andres silvera,700353,,andres-silvera
andres torres,821770,,andres-torres
andres valor,808516,sa3021278,andres-valor
andrew abbott,671096,29911,andrew-abbott
andrew alvarez,674841,29914,andrew-alvarez
andrew baker,687900,,andrew-baker
andrew bash,687856,,andrew-bash
andrew bellatti,571479,10657,andrew-bellatti
andrew benintendi,643217,17901,andrew-benintendi
andrew bolivar,810977,,andrew-bolivar
andrew brown,518500,3837,andrew-brown
andrew chafin,605177,12988,andrew-chafin
andrew cossetti,681355,,andrew-cossetti
andrew dalquist,686643,,andrew-dalquist
andrew dunford,812775,,andrew-dunford
andrew dutkanych,,MISSING,andrew-dutkanych
andrew fischer,702652,sa3031366,andrew-fischer
andrew healy,804986,,andrew-healy
andrew hoffmann,694851,,andrew-hoffmann
andrew jenkins,687543,,andrew-jenkins
andrew kittredge,552640,12828,andrew-kittredge
andrew knizner,668800,19514,andrew-knizner
andrew landry,815069,,andrew-landry
andrew lindsey,701604,,andrew-lindsey
andrew magno,687841,,andrew-magno
andrew mccutchen,457705,9847,andrew-mccutchen
andrew miller,453192,6785,andrew-miller
andrew moore,621058,17553,andrew-moore
andrew morones,688474,,andrew-morones
andrew morris,702193,sa3020569,andrew-morris
andrew nardi,677053,25942,andrew-nardi
andrew painter,691725,30091,andrew-painter
andrew perez,680970,,andrew-perez
andrew pinckney,687605,,andrew-pinckney
andrew pintar,801464,,andrew-pintar
andrew pogue,689535,,andrew-pogue
andrew politi,681555,sa3007243,andrew-politi
andrew saalfrank,685314,26203,andrew-saalfrank
andrew salas,829035,sa3067045,andrew-salas
andrew shaffner,810836,,andrew-shaffner
andrew stevenson,664057,17932,andrew-stevenson
andrew suarez,605498,18300,andrew-suarez
andrew taylor,476531,7896,andrew-taylor
andrew thurman,592806,,andrew-thurman
andrew vasquez,607755,19482,andrew-vasquez
andrew vaughn,683734,26197,andrew-vaughn
andrew velazquez,623205,14196,andrew-velazquez
andrew walling,681003,,andrew-walling
andrew walters,689958,33834,andrew-walters
andrew wantz,681806,24933,andrew-wantz
andrews opata,836168,,andrews-opata
andri hidalgo,836602,,andri-hidalgo
andrick nava,682774,,andrick-nava
andru arthur,808504,,andru-arthur
andruw monasterio,655316,19455,andruw-monasterio
andry batista,821614,,andry-batista
andry lara,691251,,andry-lara
andy basora,800576,,andy-basora
andy encarnacion,800287,,andy-encarnacion
andy garriola,696513,,andy-garriola
andy ibanez,628451,18819,andy-ibanez
andy lugo,702889,,andy-lugo
andy pages,681624,24816,andy-pages
andy perez,700321,,andy-perez
andy polanco,828489,,andy-polanco
andy rodriguez,703142,,andy-rodriguez
andy rodriguez,703142,,andy-rodriguez
andy weber,681581,,andy-weber
andy yerzy,647378,,andy-yerzy
aneury lora,699699,,aneury-lora
aneurys zabala,656008,20802,aneurys-zabala
angeibel gomez,825412,,angeibel-gomez
angel abreu,834685,,angel-abreu
angel acosta,808665,,angel-acosta
angel arredondo,802397,,angel-arredondo
angel brachi,821791,,angel-brachi
angel camacho,537996,,angel-camacho
angel carmona,830013,,angel-carmona
angel cepeda,806980,sa3021080,angel-cepeda
angel chivilli,683409,,angel-chivilli
angel cruz,807654,,angel-cruz
angel cruz,807654,,angel-cruz
angel de jesus,835037,,angel-de-jesus
angel de los santos,829751,sa3067737,angel-de-los-santos
angel felipe,665734,21163,angel-felipe
angel feliz,815906,sa3023892,angel-feliz
angel garcia,821665,,angel-garcia
angel genao,694197,sa3015706,angel-genao
angel gonzalez,821259,,angel-gonzalez
angel guzman,815917,,angel-guzman
angel guzman,808401,,angel-guzman
angel herrera,821109,,angel-herrera
angel jimenez,691439,,angel-jimenez
angel liranzo,808158,,angel-liranzo
angel martinez,682657,26540,angel-martinez
angel mateo,800377,,angel-mateo
angel montero,825418,,angel-montero
angel nunez jr.,836585,,angel-nunez-jr
angel ortiz,691292,,angel-ortiz
angel peralta,821029,,angel-peralta
angel perdomo,622780,17759,angel-perdomo
angel perez,823862,,angel-perez
angel perez,823862,,angel-perez
angel ramirez,807587,,angel-ramirez
